GEOID,stateFIPS.x,countyFIPS.x,popTot,age15_49,whiteP,blackP,amIndP,asianP,pacIsP,hispP,otherP,povPerc,pciE,SVIth1,SVIth2,SVIth3,SVIth4,SVIS,rcaUrbP,rcaRuralP,state.x,totPop10,urbPop10,rurlPop10,cenRuralP,county,state.y,minDist_mi,gestational,funding,medical,personal,overall,legCon,govCon,stateCon
01037,01,037,10855,2113,65.71,34.21,0.08,0,0,0.46,0,14,22963,0.693,0.3836,0.5314,0.2913,0.5261,0,1,AL,11539,0,11539,1,Coosa County,Alabama,39.37854383,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01039,01,039,37351,7552,84.67,12.92,0.16,0.43,0.03,1.62,1.8,18.3,23071,0.8232,0.908,0.3941,0.4702,0.7723,0,0.93,AL,37765,11461,26304,0.7,Covington County,Alabama,77.67197847,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01041,01,041,13865,2924,71.68,23.07,0.79,1.36,0,1.98,3.12,15.7,23353,0.7271,0.8596,0.6979,0.2353,0.6873,0,0.33,AL,13906,0,13906,1,Crenshaw County,Alabama,43.83073989,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01043,01,043,82313,17916,95.24,1.21,0.42,0.41,0,4.3,2.72,15.8,22980,0.6895,0.4444,0.3305,0.3945,0.5182,0,0.78,AL,80406,21517,58889,0.73,Cullman County,Alabama,73.52978758,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01045,01,045,49255,11208,72.86,19.79,0.77,1.29,0.01,6.23,5.28,18.4,23837,0.779,0.7463,0.6772,0.455,0.7599,0.07,0.14,AL,50251,24679,25572,0.51,Dale County,Alabama,73.35582367,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01047,01,047,40029,9388,28.12,70.47,0.02,0.56,0.06,1.03,0.76,31.1,18910,0.9669,0.9478,0.5345,0.8392,0.949,0,0.47,AL,43820,23821,19999,0.46,Dallas County,Alabama,46.92353992,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01049,01,049,71200,15890,85.63,1.41,1.31,0.2,0.87,14.35,10.57,22.1,21004,0.8035,0.7354,0.7625,0.4779,0.8022,0,0.93,AL,71109,7018,64091,0.9,DeKalb County,Alabama,81.05824372,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01051,01,051,81212,20449,74.9,21.43,0.26,0.48,0,2.89,2.94,12.3,27475,0.4911,0.5422,0.581,0.5177,0.5401,0.47,0.07,AL,79303,36330,42973,0.54,Elmore County,Alabama,16.19321413,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01053,01,053,37328,7819,61.87,31.93,3.85,0.36,0.19,2.24,1.79,24,18161,0.9557,0.6819,0.6027,0.5839,0.8557,0,1,AL,38319,13982,24337,0.64,Escambia County,Alabama,99.38820169,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01055,01,055,102939,23288,80.35,15.75,0.73,0.72,0.06,3.77,2.39,17.3,24065,0.7169,0.7587,0.6396,0.2904,0.6564,0.73,0.1,AL,104430,65286,39144,0.37,Etowah County,Alabama,86.88670911,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01057,01,057,16585,3567,84.99,11.93,0,0.65,0.04,1.72,2.4,20,21862,0.8306,0.8071,0.2216,0.5454,0.7038,0,0.8,AL,17241,3408,13833,0.8,Fayette County,Alabama,36.66844524,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01059,01,059,31542,7025,83.91,4.4,1.55,0.38,0,16.91,9.76,20.2,19776,0.8713,0.6622,0.8185,0.5275,0.8417,0,0.44,AL,31704,9395,22309,0.7,Franklin County,Alabama,86.11741818,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01061,01,061,26491,5656,86.33,9.55,0.79,0.41,0.02,3.88,2.9,24,20471,0.9376,0.9169,0.4626,0.2716,0.7955,0,0.17,AL,26790,2775,24015,0.9,Geneva County,Alabama,90.39035425,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01063,01,063,8426,1795,17.15,79.67,0.57,0,0,1.7,2.61,38.7,14209,0.9959,0.9717,0.5043,0.9554,0.9854,0,0,AL,9045,0,9045,1,Greene County,Alabama,35.14904631,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01065,01,065,14887,3376,39.62,58.76,0.19,0.26,0,0.87,1.16,26,20272,0.9334,0.9634,0.5116,0.9347,0.9599,0,0,AL,15760,1707,14053,0.89,Hale County,Alabama,31.94734231,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01067,01,067,17124,3603,71.12,27.73,0.02,0,0,2.62,1.12,13.5,24069,0.6971,0.6374,0.4725,0.2713,0.5519,0,0.17,AL,17302,2119,15183,0.88,Henry County,Alabama,70.12247555,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01069,01,069,104352,24325,69.37,26.91,0.29,0.84,0.02,3.29,2.58,18.3,25990,0.6943,0.8542,0.5938,0.3502,0.6838,0.68,0,AL,101547,67220,34327,0.34,Houston County,Alabama,75.46485956,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01071,01,071,52094,11323,91.01,3.45,1.18,0.41,0.15,2.89,3.79,20.2,21608,0.7927,0.5635,0.3126,0.3231,0.5726,0,0.45,AL,53227,12233,40994,0.77,Jackson County,Alabama,99.68140808,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01073,01,073,659892,161132,51.92,42.69,0.24,1.55,0.03,3.8,3.57,17,30657,0.5185,0.5833,0.8099,0.6211,0.6621,0.96,0,AL,658472,593714,64752,0.1,Jefferson County,Alabama,43.27211342,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01075,01,075,13933,2788,87.47,11.18,0,0,0,1.56,1.35,21.2,21666,0.8726,0.7214,0.2034,0.3251,0.6264,0,1,AL,14564,0,14564,1,Lamar County,Alabama,50.60452303,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01077,01,077,92585,21637,87.01,10.11,0.45,0.66,0.07,2.61,1.7,15.2,27189,0.4946,0.2451,0.4464,0.5622,0.4468,0.59,0.09,AL,92709,47008,45701,0.49,Lauderdale County,Alabama,98.77502077,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01079,01,079,33171,7163,78.21,10.93,5.66,0.13,0.07,2.13,4.99,16.8,23557,0.7373,0.5186,0.3725,0.2028,0.4952,0,0.33,AL,34339,2991,31348,0.91,Lawrence County,Alabama,90.56375701,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01081,01,081,159287,46302,70.3,23.02,0.14,4.13,0.01,3.68,2.39,21.4,26960,0.5465,0.1522,0.7189,0.9214,0.6602,0.85,0,AL,140251,101806,38441,0.27,Lee County,Alabama,24.15032763,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01083,01,083,93052,21289,80.75,13.4,0.92,1.26,0.03,5.89,3.64,13.7,27699,0.5812,0.2999,0.6186,0.4521,0.5296,0.19,0.25,AL,82782,35092,47690,0.58,Limestone County,Alabama,93.23051638,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01085,01,085,10236,2243,24.87,74.26,0.13,0,0,0.68,0.74,27.9,19491,0.9732,0.9803,0.539,0.4954,0.9188,0,0,AL,11299,0,11299,1,Lowndes County,Alabama,24.86527185,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01087,01,087,19054,5298,15.88,82.61,0.33,0.26,0,1.72,0.92,25.8,20125,0.9494,0.5772,0.5053,0.915,0.8971,0,0.58,AL,21452,9536,11916,0.56,Macon County,Alabama,29.91148956,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01089,01,089,357560,85965,68.19,24.06,0.55,2.54,0.09,4.84,4.57,13.2,35526,0.2863,0.1219,0.7217,0.3836,0.3076,0.9,0,AL,334811,279763,55048,0.16,Madison County,Alabama,96.49304258,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01091,01,091,19538,4335,45.32,53.83,0.26,0,0,0.59,0.58,21.8,23056,0.8643,0.8048,0.496,0.4088,0.7621,0,1,AL,21027,6452,14575,0.69,Marengo County,Alabama,68.63020661,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01093,01,093,29965,6245,93.06,3.66,0.41,0.16,0,2.51,2.71,17.5,21391,0.778,0.8475,0.3002,0.4209,0.671,0,1,AL,30776,3430,27346,0.89,Marion County,Alabama,66.47088741,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01095,01,095,95145,20852,92.37,2.58,0.41,0.6,0.05,13.62,3.99,21.7,23833,0.7427,0.7682,0.7708,0.3149,0.7261,0,0.28,AL,93019,43469,49550,0.53,Marshall County,Alabama,105.7802045,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01097,01,097,414659,99952,58.76,35.56,0.7,1.96,0.01,2.89,3.01,19.3,25215,0.6815,0.5899,0.6845,0.723,0.7532,0.89,0.02,AL,412999,330310,82682,0.2,Mobile County,Alabama,128.1814518,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01099,01,099,21512,4856,54.92,41.5,1.61,0.56,0,1.4,1.42,30.9,18890,0.9551,0.5056,0.469,0.3728,0.7481,0,0.86,AL,23068,4834,18234,0.79,Monroe County,Alabama,83.08265331,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01101,01,101,226941,57200,36.51,57.67,0.18,2.69,0.02,3.41,2.93,20.7,28008,0.6984,0.7641,0.8656,0.7463,0.8427,0.85,0,AL,229363,205300,24063,0.1,Montgomery County,Alabama,10.09598347,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01103,01,103,119122,26658,80.56,12.78,0.62,0.65,0.04,8.14,5.34,15.3,25907,0.5838,0.6702,0.7504,0.5775,0.6895,0.7,0.04,AL,119490,73370,46120,0.39,Morgan County,Alabama,93.4785481,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01105,01,105,9486,2342,29.92,69.45,0.06,0.22,0,0.94,0.35,41.8,13678,0.9879,0.9561,0.6237,0.994,0.9949,0,1,AL,10591,0,10591,1,Perry County,Alabama,42.24634716,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01107,01,107,20298,4709,55.98,41.22,0.12,0.06,0.04,4.59,2.58,23.5,22417,0.9156,0.638,0.8446,0.8163,0.9207,0,0.2,AL,19746,0,19746,1,Pickens County,Alabama,32.64889679,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01109,01,109,33403,10022,56.76,38.01,0.63,2.14,0.01,0.79,2.45,26.6,21137,0.9143,0.2846,0.8214,0.9233,0.9016,0,0.25,AL,32899,15897,17002,0.52,Pike County,Alabama,41.84875577,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01111,01,111,22574,4795,77.27,20.14,0.23,0.3,0.23,2.95,1.83,17.7,23247,0.7252,0.4814,0.4266,0.8157,0.7191,0,1,AL,22913,4275,18638,0.81,Randolph County,Alabama,60.59924034,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01113,01,113,58213,14329,50.26,42.87,0.28,0.89,0.12,5.36,5.57,20.1,22055,0.8433,0.88,0.7937,0.7768,0.9115,0.69,0,AL,52947,34199,18748,0.35,Russell County,Alabama,19.76947973,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01115,01,115,87306,19423,87.31,9.45,0.36,0.84,0.01,2.39,2.03,13.2,24861,0.5475,0.3088,0.3961,0.2502,0.3656,0.08,0.15,AL,83593,22740,60853,0.73,St. Clair County,Alabama,78.03123471,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01117,01,117,211261,51071,80.28,12.05,0.22,2.01,0.02,5.74,5.42,8.4,36576,0.0841,0.0691,0.6877,0.1764,0.1169,0.81,0.02,AL,195085,150323,44762,0.23,Shelby County,Alabama,50.38961494,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01119,01,119,12985,3557,24.65,71.98,0.06,2.6,0,0.1,0.71,31.3,15882,0.9561,0.5829,0.6724,0.9866,0.9557,0,1,AL,13763,0,13763,1,Sumter County,Alabama,58.17955971,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01121,01,121,80565,18441,64.2,32.28,0.43,0.58,0.03,2.26,2.47,19.9,22498,0.8729,0.7797,0.5883,0.7985,0.8736,0.05,0.36,AL,82291,36360,45931,0.56,Talladega County,Alabama,69.89097706,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01123,01,123,40636,8511,69.52,27.43,0.32,0.38,0,2.35,2.35,20.3,23655,0.8771,0.8848,0.4215,0.8685,0.8863,0,0.8,AL,41616,10726,30890,0.74,Tallapoosa County,Alabama,41.57754488,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01125,01,125,206213,58278,64.44,31.65,0.19,1.6,0.04,3.61,2.09,17.4,26064,0.6,0.1324,0.7087,0.809,0.6255,0.81,0,AL,194656,145003,49653,0.26,Tuscaloosa County,Alabama,4.899068783,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01127,01,127,64493,13653,90.78,6.21,0.17,0.49,0,2.4,2.34,19.7,22772,0.8685,0.7813,0.3862,0.4492,0.7452,0,0.17,AL,67023,17367,49656,0.74,Walker County,Alabama,42.44857781,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01129,01,129,16643,3207,66.11,24.55,7.37,0.37,0,1.09,1.59,21,22776,0.8777,0.767,0.5708,0.2566,0.7303,0,0.4,AL,17581,0,17581,1,Washington County,Alabama,130.0999238,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01131,01,131,10809,2400,26.86,69.49,0.2,0,0,0.65,3.45,31.1,16584,0.9882,0.7883,0.7708,0.6176,0.928,0,1,AL,11670,0,11670,1,Wilcox County,Alabama,64.26637611,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
01133,01,133,23875,4692,96.34,0.38,0.39,0.13,0.04,3.07,2.73,16.2,21799,0.8334,0.7896,0.2592,0.5084,0.7025,0,0.86,AL,24484,3699,20785,0.85,Winston County,Alabama,64.7087206,0.3636363636363637,0.6363636363636364,0.41666666666666663,0.380952380952381,1.7976190476190474,R,R,R
04001,04,001,71522,16001,22.88,0.72,73.69,0.4,0.03,6.21,2.29,35.3,14499,0.9793,0.8007,0.9761,0.9118,0.9885,0,0.88,AZ,71518,18551,52967,0.74,Apache County,Arizona,123.6043539,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04003,04,003,126279,24824,84.93,3.75,1.3,1.87,0.37,35.32,7.79,17.2,25436,0.6732,0.8017,0.9226,0.936,0.9064,0.38,0.38,AZ,131346,83666,47680,0.36,Cochise County,Arizona,71.18384627,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04005,04,005,140217,40476,63.83,1.33,26.66,2.07,0.13,14.03,5.97,18.9,26387,0.6373,0.0366,0.8749,0.9713,0.7131,0.54,0.36,AZ,134421,92124,42297,0.31,Coconino County,Arizona,45.44338754,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04007,04,007,53400,8829,76.96,0.59,16.03,0.91,0.04,18.71,5.47,22.5,22939,0.8573,0.8819,0.8093,0.6689,0.899,0,0.25,AZ,53597,31589,22008,0.41,Gila County,Arizona,69.53579326,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04009,04,009,37879,8066,78.98,1.99,12.69,0.65,0.13,32.88,5.56,21.3,18113,0.8901,0.6065,0.8902,0.9854,0.964,0,0.33,AZ,37220,19936,17284,0.46,Graham County,Arizona,74.78826025,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04011,04,011,9504,2206,90.93,2.24,4.59,0.31,0,46.44,1.94,11.9,25349,0.5178,0.5989,0.915,0.3537,0.6188,0,1,AZ,8437,4508,3929,0.47,Greenlee County,Arizona,116.5526678,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04012,04,012,20701,3094,76.88,0.82,14.12,0.76,0.04,27.12,7.38,22.1,21845,0.9105,0.7065,0.9051,0.7514,0.9236,0,0.89,AZ,20489,8948,11541,0.56,La Paz County,Arizona,103.8879505,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04013,04,013,4253913,1029293,77.62,5.47,1.94,4.15,0.22,30.82,10.59,14.7,31697,0.4175,0.3378,0.9274,0.7259,0.6354,0.92,0.01,AZ,3817117,3726888,90229,0.02,Maricopa County,Arizona,25.3363254,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04015,04,015,206064,34324,90.51,1.1,2.36,1.22,0.25,16.25,4.57,17.5,24829,0.7541,0.7861,0.7081,0.851,0.86240000000000006,0.28,0.19,AZ,200186,154216,45970,0.23,Mohave County,Arizona,80.26590905,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04017,04,017,108705,22223,47.78,0.89,44.46,0.63,0.08,11.34,6.17,28.5,18333,0.9599,0.9573,0.9341,0.9618,0.9955,0,0.87,AZ,107449,49278,58171,0.54,Navajo County,Arizona,77.29972285,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04019,04,019,1019722,236527,76.24,3.53,3.75,2.89,0.16,36.95,13.44,17.8,28480,0.6061,0.5689,0.9277,0.9825,0.8828,0.87,0.02,AZ,980263,906513,73750,0.08,Pima County,Arizona,54.23261406,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04021,04,021,419721,83301,80.2,4.47,4.95,1.81,0.34,29.87,8.23,14.2,23653,0.6962,0.7014,0.8962,0.8271,0.8592,0.53,0.15,AZ,375770,293459,82311,0.22,Pinal County,Arizona,46.05217214,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04023,04,023,46584,10412,85.13,0.53,0.78,0.92,0,83.5,12.64,24,20324,0.9497,0.837,0.9959,0.4448,0.9318,0,0.2,AZ,47420,34672,12748,0.27,Santa Cruz County,Arizona,49.90858321,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04025,04,025,224645,36666,91.54,0.57,1.43,1,0.1,14.45,5.36,14,28829,0.4411,0.3871,0.6609,0.5791,0.521,0.43,0.29,AZ,211033,140976,70057,0.33,Yavapai County,Arizona,63.98023873,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
04027,04,027,207829,44767,74.99,2.16,1.29,1.32,0.06,63.35,20.18,20.1,21178,0.9408,0.7619,0.9898,0.9796,0.9895,0.73,0.07,AZ,195751,175335,20416,0.1,Yuma County,Arizona,95.90817724,0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809524,2.8766233766233764,R,R,R
05001,05,001,18124,3865,72.53,25.81,0.1,0,0,3.06,1.56,20,24714,0.7459,0.9745,0.3715,0.5368,0.7787,0,1,AR,19019,12418,6601,0.35,Arkansas County,Arkansas,65.5136633,0.3636363636363637,0.6363636363636364,0.8333333333333333,0.9523809523809524,2.7857142857142856,R,R,R
05003,05,003,20537,4292,71.76,25.68,0.24,0.23,0,5.34,2.09,20.2,22052,0.828,0.9287,0.7415,0.49,0.8576,0,1,AR,21853,10559,11294,0.52,Ashley County,Arkansas,109.9114931,0.3636363636363637,0.6363636363636364,0.8333333333333333,0.9523809523809524,2.7857142857142856,R,R,R
