gestational,funding,medical,personal,state_name,overall
1,1,0.5,1,TX,3.5
0.36363636363636365,0.9545454545454546,1,0.9523809523809523,IN,3.270562770562771
0.36363636363636365,0.6363636363636364,1,0.9523809523809523,OH,2.9523809523809526
0.45454545454545453,1,0.5,0.9523809523809523,MI,2.9069264069264067
0.2727272727272727,0.8181818181818182,0.8333333333333333,0.9523809523809523,AZ,2.8766233766233764
0.36363636363636365,0.6363636363636364,0.8333333333333333,0.9523809523809523,AR,2.7857142857142856
0.36363636363636365,0.6363636363636364,0.8333333333333333,0.9523809523809523,LA,2.7857142857142856
0.36363636363636365,1,0.8333333333333333,0.5714285714285714,OK,2.7683982683982684
0.5909090909090909,0.5909090909090909,0.5,0.9523809523809523,MS,2.634199134199134
0.36363636363636365,1,0.8333333333333333,0.38095238095238093,KS,2.577922077922078
0.2727272727272727,1,0.8333333333333333,0.38095238095238093,MO,2.487012987012987
0.09090909090909091,0.9545454545454546,0.5,0.8571428571428571,UT,2.4025974025974026
0.36363636363636365,0.7272727272727273,0.5,0.7619047619047619,SD,2.3528138528138527
0.36363636363636365,1,0.5,0.38095238095238093,ND,2.2445887445887447
0.09090909090909091,0.5909090909090909,0.8333333333333333,0.5714285714285714,VA,2.0865800865800868
0.18181818181818182,0.6363636363636364,0.8333333333333333,0.41666666666666663,TN,2.068181818181818
0.36363636363636365,0.6363636363636364,0.6666666666666666,0.38095238095238093,SC,2.0476190476190474
0.36363636363636365,1,0.08333333333333333,0.5238095238095238,KY,1.970779220779221
0.2727272727272727,0.6363636363636364,0.41666666666666663,0.6071428571428571,FL,1.932900432900433
0.2727272727272727,1,0.25,0.38095238095238093,ID,1.9036796536796536
0.36363636363636365,0.5909090909090909,0.08333333333333333,0.8571428571428571,WI,1.8950216450216448
0.36363636363636365,1,0.08333333333333333,0.38095238095238093,NE,1.827922077922078
0.36363636363636365,0.6363636363636364,0.41666666666666663,0.38095238095238093,AL,1.7976190476190474
0.18181818181818182,0.6363636363636364,0.3333333333333333,0.38095238095238093,PA,1.5324675324675323
0.36363636363636365,0.6363636363636364,0.3333333333333333,0.19047619047619047,GA,1.5238095238095237
0.2727272727272727,0.6363636363636364,0,0.5714285714285714,WY,1.4805194805194803
0.2727272727272727,0.6363636363636364,0.08333333333333333,0.38095238095238093,RI,1.3733766233766234
0,0.6363636363636364,0.5,0.19047619047619047,NH,1.3268398268398267
0.36363636363636365,0.6363636363636364,0.08333333333333333,0.2261904761904762,IA,1.3095238095238095
0.18181818181818182,0.6363636363636364,0,0.38095238095238093,NC,1.199134199134199
0.36363636363636365,0.5454545454545454,0.08333333333333333,0.09523809523809523,WV,1.0876623376623376
0.2727272727272727,0,0.5,0.19047619047619047,MN,0.9632034632034632
0.2727272727272727,0.6363636363636364,0,0.047619047619047616,NV,0.9567099567099566
0.18181818181818182,0.6363636363636364,0,0.09523809523809523,DE,0.9134199134199134
0.18181818181818182,0,0.6666666666666666,0.047619047619047616,MT,0.8961038961038961
0,0.6363636363636364,0,0.19047619047619047,CO,0.8268398268398268
0.18181818181818182,0,0,0.2857142857142857,MA,0.4675324675324675
0.2727272727272727,0,0,0.19047619047619047,IL,0.4632034632034632
0,0,0.3333333333333333,0.047619047619047616,NM,0.38095238095238093
0.2727272727272727,0,0,0.047619047619047616,CA,0.3203463203463203
0.18181818181818182,0,0,0.09523809523809523,MD,0.27705627705627706
0.2727272727272727,0,0,0,CT,0.2727272727272727
0.2727272727272727,0,0,0,ME,0.2727272727272727
0.2727272727272727,0,0,0,WA,0.2727272727272727
0.18181818181818182,0,0,0,NY,0.18181818181818182
0,0,0.08333333333333333,0.047619047619047616,NJ,0.13095238095238093
0,0,0,0,OR,0
0,0,0,0,VT,0
